computer,name,version,publisher
'Left Common Room','PrusaSlicer 2.5.0','2.5.0','Prusa Research'
'Left Common Room','PrusaSlicer 2.5.0','2.5.0','Prusa Research'
'Left Common Room','Sublime Text',None,'Sublime HQ Pty Ltd'
'Left Common Room','LibreOffice 6.4.0.3','6.4.0.3','The Document Foundation'
'Left Common Room','GIMP 2.10.18','2.10.18','The GIMP Team'
'Left Common Room','VCarve Pro - Makerspace Edition 11.0','11.0','Vectric'
'Left Common Room','VCarve Pro Trial Edition 11.0','11.0','Vectric'
'Left Common Room','VLC media player','3.0.8','VideoLAN'
'Left Common Room','paint.net','4.2.10','dotPDN LLC'
'Left Common Room','Windows Driver Package - libusb-win32 (libusb0) libusb-win32 devices  (04/21/2015 1.0.0.0)','04/21/2015 1.0.0.0','libusb-win32'
'Left Common Room','UltraVnc','1.2.4.0','uvnc bvba'
